customer,tactic,technique,detection_rule,category,platform,type,channel,provider,data_needed,logging policy,enrichment,enrichment requirements,response playbook,response action
None,TA0006: Credential Access,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0006: Credential Access,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,-,,,-,title
None,TA0006: Credential Access,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0002: Execution,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,-,,,-,title
None,TA0002: Execution,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0002: Execution,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,-,,,-,title
None,TA0002: Execution,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0006: Credential Access,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,-,,,-,title
None,TA0006: Credential Access,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0006: Credential Access,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,-,,,-,title
None,TA0006: Credential Access,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0002: Execution,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,-,,,-,title
None,TA0002: Execution,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0002: Execution,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,-,,,-,title
None,TA0002: Execution,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0006: Credential Access,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,-,,,-,title
None,TA0006: Credential Access,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0006: Credential Access,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,-,,,-,title
None,TA0006: Credential Access,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0002: Execution,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,-,,,-,title
None,TA0002: Execution,T1003: Credential Dumping,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0002: Execution,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,-,,,-,title
None,TA0002: Execution,T1035: Service Execution,Credential Dumping Tools Service Execution,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0003: Persistence,T1050: New Service,Turla Service Install,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,-,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0102_windows_audit_file_system,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0103_windows_audit_registry,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0102_windows_audit_file_system,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0007: Discovery,T1012: Query Registry,SysKey Registry Keys Access,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0103_windows_audit_registry,,,-,title
None,TA0002: Execution,T1086: PowerShell,Remote PowerShell Sessions,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0087_5156_windows_filtering_platform_has_permitted_connection,LP_0045_windows_audit_filtering_platform_connection,,,-,title
None,TA0005: Defense Evasion,T1036: Masquerading,New or Renamed User Account with '$' in Attribute 'SamAccountName'.,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0086_4720_user_account_was_created,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0003: Persistence,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0057_4625_account_failed_to_logon,LP_0004_windows_audit_logon,,,-,title
None,TA0003: Persistence,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0057_4625_account_failed_to_logon,LP_0107_windows_audit_credential_validation,,,-,title
None,TA0004: Privilege Escalation,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0057_4625_account_failed_to_logon,LP_0004_windows_audit_logon,,,-,title
None,TA0004: Privilege Escalation,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0057_4625_account_failed_to_logon,LP_0107_windows_audit_credential_validation,,,-,title
None,TA0003: Persistence,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0079_4776_computer_attempted_to_validate_the_credentials_for_an_account,LP_0004_windows_audit_logon,,,-,title
None,TA0003: Persistence,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0079_4776_computer_attempted_to_validate_the_credentials_for_an_account,LP_0107_windows_audit_credential_validation,,,-,title
None,TA0004: Privilege Escalation,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0079_4776_computer_attempted_to_validate_the_credentials_for_an_account,LP_0004_windows_audit_logon,,,-,title
None,TA0004: Privilege Escalation,T1078: Valid Accounts,Account Tampering - Suspicious Failed Logon Reasons,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0079_4776_computer_attempted_to_validate_the_credentials_for_an_account,LP_0107_windows_audit_credential_validation,,,-,title
None,TA0006: Credential Access,T1003: Credential Dumping,Mimikatz DC Sync,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0030_4662_operation_was_performed_on_an_object,LP_0027_windows_audit_directory_service_access,,,-,title
None,TA0008: Lateral Movement,T1076: Remote Desktop Protocol,RDP Login from Localhost,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0004_4624_windows_account_logon,LP_0004_windows_audit_logon,,,-,title
None,TA0007: Discovery,T1087: Account Discovery,AD Privileged Users or Groups Reconnaissance,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0029_4661_handle_to_an_object_was_requested,LP_0028_windows_audit_sam,,,-,title
None,TA0007: Discovery,T1087: Account Discovery,AD Privileged Users or Groups Reconnaissance,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0029_4661_handle_to_an_object_was_requested,LP_0027_windows_audit_directory_service_access,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0102_windows_audit_file_system,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0103_windows_audit_registry,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0042_windows_audit_handle_manipulation,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0102_windows_audit_file_system,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0103_windows_audit_registry,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0060_4658_handle_to_an_object_was_closed,LP_0042_windows_audit_handle_manipulation,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0102_windows_audit_file_system,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0103_windows_audit_registry,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0042_windows_audit_handle_manipulation,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0102_windows_audit_file_system,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0103_windows_audit_registry,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,LP_0042_windows_audit_handle_manipulation,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0102_windows_audit_file_system,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0103_windows_audit_registry,,,-,title
None,TA0005: Defense Evasion,T1107: File Deletion,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0042_windows_audit_handle_manipulation,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0102_windows_audit_file_system,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0039_windows_audit_kernel_object,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0104_windows_audit_removable_storage,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0103_windows_audit_registry,,,-,title
None,TA0005: Defense Evasion,T1066: Indicator Removal from Tools,Secure Deletion with SDelete,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0062_4663_attempt_was_made_to_access_an_object,LP_0042_windows_audit_handle_manipulation,,,-,title
None,TA0008: Lateral Movement,T1075: Pass the Hash,Pass the Hash Activity 2,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0004_4624_windows_account_logon,LP_0004_windows_audit_logon,,,-,title
None,TA0006: Credential Access,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0026_5136_windows_directory_service_object_was_modified,-,,,-,title
None,TA0006: Credential Access,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0026_5136_windows_directory_service_object_was_modified,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0003: Persistence,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0026_5136_windows_directory_service_object_was_modified,-,,,-,title
None,TA0003: Persistence,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0026_5136_windows_directory_service_object_was_modified,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0006: Credential Access,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0027_4738_user_account_was_changed,-,,,-,title
None,TA0006: Credential Access,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0027_4738_user_account_was_changed,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0003: Persistence,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0027_4738_user_account_was_changed,-,,,-,title
None,TA0003: Persistence,T1098: Account Manipulation,Active Directory User Backdoors,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0027_4738_user_account_was_changed,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0006: Credential Access,T1003: Credential Dumping,QuarksPwDump Clearing Access History,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,-,,,-,title
None,TA0003: Persistence,T1178: SID-History Injection,Addition of SID History to Active Directory Object,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0004: Privilege Escalation,T1178: SID-History Injection,Addition of SID History to Active Directory Object,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0003: Persistence,T1178: SID-History Injection,Addition of SID History to Active Directory Object,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0027_4738_user_account_was_changed,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0004: Privilege Escalation,T1178: SID-History Injection,Addition of SID History to Active Directory Object,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0027_4738_user_account_was_changed,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0003: Persistence,T1178: SID-History Injection,Addition of SID History to Active Directory Object,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0075_4766_attempt_to_add_sid_history_to_an_account_failed,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0004: Privilege Escalation,T1178: SID-History Injection,Addition of SID History to Active Directory Object,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0075_4766_attempt_to_add_sid_history_to_an_account_failed,LP_0026_windows_audit_user_account_management,,,-,title
None,TA0004: Privilege Escalation,T1134: Access Token Manipulation,Meterpreter or Cobalt Strike Getsystem Service Installation,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,-,,,-,title
None,TA0004: Privilege Escalation,T1134: Access Token Manipulation,Meterpreter or Cobalt Strike Getsystem Service Installation,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0004: Privilege Escalation,T1134: Access Token Manipulation,Meterpreter or Cobalt Strike Getsystem Service Installation,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,-,,,-,title
None,TA0004: Privilege Escalation,T1134: Access Token Manipulation,Meterpreter or Cobalt Strike Getsystem Service Installation,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0004: Privilege Escalation,T1134: Access Token Manipulation,Meterpreter or Cobalt Strike Getsystem Service Installation,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,-,,,-,title
None,TA0004: Privilege Escalation,T1134: Access Token Manipulation,Meterpreter or Cobalt Strike Getsystem Service Installation,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0063_4697_service_was_installed_in_the_system,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0008: Lateral Movement,T1075: Pass the Hash,NTLM Logon,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-NTLM/Operational,Microsoft-Windows-NTLM,DN_0082_8002_ntlm_server_blocked_audit,LP_0044_windows_ntlm_audit,,,-,title
None,TA0005: Defense Evasion,T1027: Obfuscated Files or Information,Invoke-Obfuscation Obfuscated IEX Invocation,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,-,,,-,title
None,TA0005: Defense Evasion,T1027: Obfuscated Files or Information,Invoke-Obfuscation Obfuscated IEX Invocation,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,LP_0100_windows_audit_security_system_extension,,,-,title
None,TA0005: Defense Evasion,T1027: Obfuscated Files or Information,Invoke-Obfuscation Obfuscated IEX Invocation,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,-,,,-,title
None,TA0005: Defense Evasion,T1027: Obfuscated Files or Information,Invoke-Obfuscation Obfuscated IEX Invocation,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0010_6_windows_sysmon_driver_loaded,LP_0100_windows_audit_security_system_extension,,,-,title
